Date,Symbol,Close,Volume,Title,Description
03/12/2017,AAPL, , ,Voice: The Next Computing Empire,"This article is the first in a two part series aimed at exploring the rapidly developing state of voice computing from the investor s perspective In Part I I discuss why it s now increasingly clear that the human voice will become society s next major computing interface and<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/djoKX8vWXQk"" height=""1"" width=""1"" alt=""""/>"
03/12/2017,AMZN, , ,Voice: The Next Computing Empire,"This article is the first in a two part series aimed at exploring the rapidly developing state of voice computing from the investor s perspective In Part I I discuss why it s now increasingly clear that the human voice will become society s next major computing interface and<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/djoKX8vWXQk"" height=""1"" width=""1"" alt=""""/>"
03/11/2017,AAPL, , ,3 Growth Stocks I&#39;d Buy Right Now,"The recent bull market has pushed many growth stocks valuations into the stratosphere Thankfully not every growth stock is priced for perfection Skyworks Solutions NASDAQ SWKS Regeneron Pharmaceuticals NASDAQ REGN and Under Armour NYSE UA NYSE UAA all<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/9M80V5sdXO4"" height=""1"" width=""1"" alt=""""/>"
03/11/2017,AMZN, , ,Is This NVIDIA&#39;s Next Big Opportunity?,"Image source NVIDIA Gaming is NVIDIA s NASDAQ NVDA biggest revenue source while the automotive business is said to be its next big play However the company s data center business which has Amazon NASDAQ AMZN and Microsoft NASDAQ MSFT as clients<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/akK6rs4j6eM"" height=""1"" width=""1"" alt=""""/>"
03/11/2017,GOOG, , ,The 5 Biggest Challenges to the Driverless Car Revolution,"The year 2017 is gearing up to be a momentous year for the driverless car race But despite major initiatives by megacorporations Alphabet NASDAQ GOOG NASDAQ GOOGL Tesla Motors NASDAQ TSLA and others there are major road blocks ahead for the driverless car<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/O37rjhRwgds"" height=""1"" width=""1"" alt=""""/>"
03/10/2017,AAPL,139.14,"19,578,920"
03/10/2017,AMZN,852.46,"2,434,254",How Best Buy Survived While RadioShack Has Been to Bankruptcy Court Twice,"RadioShack has filed for bankruptcy protection for a second time with the company s owner immediately closing 200 stores and considering its options for the remaining 1 300 it owns At roughly the same time Best Buy NYSE BBY another electronics retailer has turned the<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/GyKBxg142GA"" height=""1"" width=""1"" alt=""""/>"
03/10/2017,GOOG,843.25,"1,702,731",Alphabet Self-driving Car Unit Seeks Injunction Against Uber,"Alphabet Self-driving Car Unit Seeks Injunction Against Uber<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/fwqJF9ffng4"" height=""1"" width=""1"" alt=""""/>"
03/09/2017,AAPL,138.68,"22,117,750"
03/09/2017,AMZN,853,"2,043,932"
03/09/2017,GOOG,838.68,"1,261,393"
03/08/2017,AAPL,139,"18,695,500"
03/08/2017,AMZN,850.5,"2,286,974",Nintendo Switch Will Have Netflix And Hulu Eventually,"Nintendo Switch Will Have Netflix And Hulu Eventually<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/GcOy3UYelh4"" height=""1"" width=""1"" alt=""""/>"
03/08/2017,GOOG,835.37,"988,900",Why Alphabet and Microsoft Should Start Disclosing Cloud Revenue,"Alphabet NASDAQ GOOG NASDAQ GOOGL is currently hosting its Google Cloud Next 17 developer conference which kicked off earlier today in San Francisco and runs through March 10 Speaking at the event Google CEO Sundar Pichai made it clear that he sees Google Cloud as an<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/Trw3geYVfHs"" height=""1"" width=""1"" alt=""""/>"
03/07/2017,AAPL,139.52,"17,439,210"
03/07/2017,AMZN,846.02,"2,246,216"
03/07/2017,GOOG,831.91,"1,037,573",Google Reportedly Faces New EU Complaint Over Android,"Google Reportedly Faces New EU Complaint Over Android<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/NGCey9RvuwU"" height=""1"" width=""1"" alt=""""/>"
03/06/2017,AAPL,139.34,"21,229,890"
03/06/2017,AMZN,846.61,"2,609,139",Amazon Looking Ahead To Moon Deliveries,"Amazon Looking Ahead To Moon Deliveries<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/A28zqOJf0Ao"" height=""1"" width=""1"" alt=""""/>"
03/06/2017,GOOG,827.78,"1,108,799"
03/03/2017,AAPL,139.78,"21,555,370",Report: New Apple Phone Delayed,"Report: New Apple Phone Delayed<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/qicAUITjW6Y"" height=""1"" width=""1"" alt=""""/>"
03/03/2017,AMZN,849.88,"1,948,195"
03/03/2017,GOOG,829.08,"890,640"
03/02/2017,AAPL,138.96,"26,170,690"
03/02/2017,AMZN,848.91,"2,130,010",Amazon's Cloud Outage Due To Human Error,"Amazon's Cloud Outage Due To Human Error<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/QA5zqNzYnrE"" height=""1"" width=""1"" alt=""""/>"
03/02/2017,GOOG,830.63,"937,824"
03/01/2017,AAPL,139.79,"36,362,440"
03/01/2017,AMZN,853.08,"2,758,169",Asian Shares Mostly Higher As Trump Softens Immigration Stance,"Asian Shares Mostly Higher As Trump Softens Immigration Stance<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/bE9-ajkQOa8"" height=""1"" width=""1"" alt=""""/>"
03/01/2017,GOOG,835.24,"1,495,934"
02/28/2017,AAPL,136.99,"23,446,340",Apple Looking Into Supposed IPhone 7 Plus Fire,"Apple Looking Into Supposed IPhone 7 Plus Fire<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/irIhJGSGCPI"" height=""1"" width=""1"" alt=""""/>"
02/28/2017,AMZN,845.04,"2,787,892",Amazon To Sell Game Downloads From Twitch Streams,"Amazon To Sell Game Downloads From Twitch Streams<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/rHZAjJ4XU6s"" height=""1"" width=""1"" alt=""""/>"
02/28/2017,GOOG,823.21,"2,258,695",YouTube To Unveil $35/Month Web-TV Service,"YouTube To Unveil $35/Month Web-TV Service<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/2Mz7fBsf2w4"" height=""1"" width=""1"" alt=""""/>"
02/27/2017,AAPL,136.93,"20,222,210",Berkshire Increases Its Stake In Apple,"Berkshire Increases Its Stake In Apple<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/1FbnJ-Dv6U8"" height=""1"" width=""1"" alt=""""/>"
02/27/2017,AMZN,848.64,"2,703,855"
02/27/2017,GOOG,829.28,"1,101,120"
02/24/2017,AAPL,136.66,"21,754,600"
02/24/2017,AMZN,845.24,"3,684,473"
02/24/2017,GOOG,828.64,"1,392,039"
02/23/2017,AAPL,136.53,"20,762,360",European Markets Finished Mostly Lower After Late Drop,"European Markets Finished Mostly Lower After Late Drop<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/ovewXJn3jjg"" height=""1"" width=""1"" alt=""""/>"
02/23/2017,AMZN,852.19,"3,459,287"
02/23/2017,GOOG,831.33,"1,471,342",Google Taking On Uber With Waze Expansion,"Google Taking On Uber With Waze Expansion<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/Mm0OtnaEPig"" height=""1"" width=""1"" alt=""""/>"
02/22/2017,AAPL,137.11,"20,769,030",Apple Park Opens To Employees In April; Theater To Be Named For Steve Jobs,"Apple Park Opens To Employees In April; Theater To Be Named For Steve Jobs<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/XTk3ZVXlx90"" height=""1"" width=""1"" alt=""""/>"
02/22/2017,AMZN,855.61,"2,615,385",Amazon Offers One-Time Discount Just Because,"Amazon Offers One-Time Discount Just Because<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/THONMF11lkM"" height=""1"" width=""1"" alt=""""/>"
02/22/2017,GOOG,830.76,"983,058"
02/21/2017,AAPL,136.7,"24,487,200"
02/21/2017,AMZN,856.44,"3,506,621",McDermott Acquires Deepwater Pipelay And Construction Vessel - Quick Facts,"McDermott Acquires Deepwater Pipelay And Construction Vessel - Quick Facts<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/MZT2oy6X_20"" height=""1"" width=""1"" alt=""""/>"
02/21/2017,GOOG,831.66,"1,259,841",YouTube Getting Rid Of Unskippable 30-Second Ads,"YouTube Getting Rid Of Unskippable 30-Second Ads<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/AtXPDoEdANU"" height=""1"" width=""1"" alt=""""/>"
02/18/2017,AAPL, , ,"Euro Has A 'Valuation Problem', Merkel Says","Euro Has A 'Valuation Problem', Merkel Says<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/Ft6QuK82x_c"" height=""1"" width=""1"" alt=""""/>"
02/17/2017,AAPL,135.72,"22,163,280"
02/17/2017,AMZN,845.07,"3,036,616",Amazon Thinking About Parachuting Packages From Drones,"Amazon Thinking About Parachuting Packages From Drones<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/w736uw78SUM"" height=""1"" width=""1"" alt=""""/>"
02/17/2017,GOOG,828.07,"1,602,549"
02/16/2017,AAPL,135.345,"22,539,860"
02/16/2017,AMZN,844.14,"2,710,595"
